x,y
0,-0.12024
0.1,0.01748
0.2,0.15521
0.3,0.44229
0.4,0.58002
0.5,0.71904
0.6,0.85677
0.7,0.95339
0.8,1.09112
0.9,1.22886
1,1.36659
1.1,1.32374
1.2,1.46147
1.3,1.5992
1.4,1.91835
1.5,2.05609
1.6,2.19382
1.7,2.52731
1.8,2.66504
1.9,2.80277
2,2.61921
2.1,2.75694
2.2,2.89467
2.3,3.04261
2.4,3.18035
2.5,3.31808
2.6,3.45581
2.7,3.67742
2.8,3.81515
2.9,3.99566
3,4.13339
3.1,4.27112
3.2,4.58505
3.3,4.72278
3.4,4.93498
3.5,4.88369
3.6,5.10352
3.7,4.96759
3.8,5.38324
3.9,5.50135
4,5.60233
4.1,5.69129
4.2,5.84968
4.3,6.17195
4.4,6.12659
4.5,6.29058
4.6,6.48283
4.7,6.54582
4.8,6.40967
4.9,6.74736
5,6.8851
5.1,7.19256
5.2,7.3303
5.3,7.13333
5.4,7.27106
5.5,7.5917
5.6,7.72943
5.7,7.86717
5.8,8.18977
5.9,8.32751
5.99999999999999,8.46524
6.09999999999999,8.29917
6.19999999999999,8.43691
6.29999999999999,8.57464
6.39999999999999,8.8943
6.49999999999999,9.03203
6.59999999999999,8.99158
6.69999999999999,9.12932
6.79999999999999,9.26705
6.89999999999999,9.40478
6.99999999999999,9.81731
7.09999999999999,9.95504
7.19999999999999,10.09277
7.29999999999999,10.30761
7.39999999999999,10.44534
7.49999999999999,10.58308
7.59999999999999,10.72081
7.69999999999999,10.69671
7.79999999999999,10.83444
7.89999999999999,10.97217
7.99999999999999,11.1099
8.09999999999999,10.99506
8.19999999999999,11.13279
8.29999999999999,11.27052
8.39999999999999,11.40825
8.49999999999999,11.54598
8.59999999999999,11.62859
8.69999999999999,11.76632
8.79999999999998,11.90405
8.89999999999998,12.04178
8.99999999999998,12.17952
9.09999999999998,12.72128
9.19999999999998,12.85901
9.29999999999998,12.99674
9.39999999999998,13.18802
9.49999999999998,13.32576
9.59999999999998,13.46349
9.69999999999998,13.60122
9.79999999999998,13.73895
9.89999999999998,13.84551
9.99999999999998,13.98324
